names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
"Palencia III, Spain",Castilla_Leon,20,2024-06-28T15:55:49+09:00,,80.2,0.5,19.9,1019.8,9.0,13.0,0.6,18.0,10.6
"Renault IV, Palencia, Spain",Castilla_Leon,13,2024-05-17T21:19:12+09:00,0.1,55.0,2.8,33.3,1013.5,3.0,13.0,1.1,15.9,8.2
"Hontoria II - Venta de Baños, Palencia, Spain",Castilla_Leon,32,2024-05-17T21:15:52+09:00,0.1,55.0,0.5,31.7,1013.5,3.0,13.0,3.6,15.9,8.2
"Guardo, Palencia, Spain",Castilla_Leon,20,2024-06-28T15:55:59+09:00,,79.9,1.9,19.9,1017.3,10.0,9.0,3.1,16.9,0.3
"C.T.G. - Villalba, Palencia, Spain",Castilla_Leon,17,2021-04-13T15:12:04+09:00,,85.0,1.0,16.7,1022.5,2.0,9.0,1.1,,0.1
"C.T.G. - Compuerto, Palencia, Spain",Castilla_Leon,16,2021-04-13T15:18:07+09:00,,85.5,0.5,16.3,1022.5,2.0,9.0,2.1,,0.1
"Hontoria I - Poblado, Palencia, Spain",Castilla_Leon,34,2024-05-17T21:13:58+09:00,0.1,55.3,0.5,34.2,1013.5,1.0,13.0,1.1,15.9,8.0
"Actur, Zaragoza, Spain",None,44,2024-06-28T15:22:27+09:00,,60.0,17.9,7.3,1016.1,13.0,44.0,,21.1,4.0
"Las Fuentes, Zaragoza, Spain",None,32,2024-06-28T15:16:48+09:00,2.9,60.0,10.0,11.3,1016.1,17.0,32.0,1.5,21.1,4.0
"El Picarral, Zaragoza, Spain",None,25,2024-06-28T15:24:10+09:00,1.4,60.0,6.4,13.1,1016.1,,25.0,,21.1,4.0
"Jaime Ferrán, Zaragoza, Spain",None,22,2024-06-28T15:16:48+09:00,1.9,60.0,16.0,10.8,1016.1,22.0,,1.7,21.1,4.0
"Avda de Soria, Zaragoza, Spain",None,18,2024-06-28T15:40:45+09:00,2.1,59.6,7.0,16.5,1016.1,18.0,,0.7,21.3,4.0
"Renovales (Luis Vives), Zaragoza, Spain",None,14,2024-06-28T15:24:10+09:00,2.0,75.0,5.3,13.7,1012.6,9.0,,1.2,21.3,1.5
"Roger de Flor, Zaragoza, Spain",None,13,2024-06-28T15:21:08+09:00,1.4,60.0,6.8,13.0,1016.1,8.0,,1.3,21.1,4.0
"Laboratorio, Tijuana, Baja California, Mexico",None,-,2021-12-18T06:32:05+09:00,,65.0,,,1010.1,,,,26.0,8.2
"FES Acatlán, México, Mexico",None,42,2023-09-28T01:41:57+09:00,10.0,48.5,19.5,15.2,1030.1,42.0,,17.2,19.0,1.8
"Tlalnepantla, México, Mexico",None,70,2023-09-10T05:40:18+09:00,4.5,28.0,9.3,49.6,1026.5,40.0,70.0,2.9,24.0,1.5
